"19_AZ_CLI_upload_files";"Remember to upload one file at a time."
"20_RG";"Create one."
"21_Create_From_Template";"Now we just need to enter the following command pointing to the template and parameters files."
"22_Pass_SQL";"The console will ask for the S Q L admin password, because it was defined as a secured string parameter."
"23_Takes_a_while";"The creating specially of the dedicated pool takes a while."
"24_Done";"After the provisioning is done, let's navigate to the resource group."
"25_Open_Services";"Here is the S Q L Pool."
"26_Synpase";"And here the synapse workspace."
"27_Outro";"And that's all folks. See you in another video."
